id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
1;OZAN;1284;618;93;6.6;4.91667;46.3833;2866;51546;45456;462330
2;CORMORANCHE-SUR-SAONE;1123;1058;107;9.85;4.83333;46.2333;2772;51379;44953;461427
3;PLAGNE;1298;129;20;6.2;5.73333;46.1833;3769;51324;54342;461131
4;TOSSIAT;1422;1406;138;10.17;5.31667;46.1333;3309;51268;51854;460828
5;POUILLAT;1309;88;14;6.23;5.43333;46.3333;3435;51475;52542;461938
6;TORCIEU;1421;698;65;10.72;5.4;45.9167;3398;51025;52343;455521
7;REPLONGES;1320;3500;210;16.6;4.88333;46.3;2833;51456;45310;461837
8;CORCELLES;1119;243;17;14.16;5.58333;46.0333;3597;51151;53428;460208
9;PERON;1288;2143;82;26.01;5.93333;46.2;3989;51322;55535;461124
10;RELEVANT;1319;466;37;12.38;4.95;46.0833;2903;51211;45658;460525
11;CHAVEYRIAT;1096;927;54;16.87;5.06667;46.1833;3026;51331;50338;461152
12;VAUX-EN-BUGEY;1431;1169;142;8.22;5.35;45.9167;3352;51031;52113;455541
13;MAILLAT;1228;668;59;11.31;5.55;46.1333;3557;51255;53217;460745
14;FARAMANS;1156;681;60;11.22;5.11667;45.9;3099;51002;50732;455407
15;BEON;1039;373;36;10.3;5.75;45.8333;3798;50950;54519;455117
16;SAINT-BERNARD;1339;1375;436;3.15;4.73723;45.945;2667;51050;44414;455642
17;ROSSILLON;1329;148;18;8.07;5.6;45.8333;3619;50924;53537;454955
18;PONT-D'AIN;1304;2627;234;11.22;5.33333;46.05;3333;51165;52011;460254
19;NANTUA;1269;3713;290;12.79;5.61667;46.15;3633;51282;53622;460912
20;CHAVANNES-SUR-REYSSOUZE;1094;680;41;16.55;5;46.4333;2952;51590;45935;462550
21;NEUVILLE-LES-DAMES;1272;1504;56;26.59;5;46.1667;2963;51291;50013;460944
22;FLAXIEU;1162;63;22;2.79;5.73333;45.8167;3776;50898;54407;454830
23;HOTONNES;1187;306;10;28.4;5.68333;46;3730;51109;54136;455952
