id;nom;insee;pop_2010;densite_2010;surface;long_deg;lat_deg
1;OZAN;1284;618;93;6.6;4.91667;46.3833
2;CORMORANCHE-SUR-SAONE;1123;1058;107;9.85;4.83333;46.2333
3;PLAGNE;1298;129;20;6.2;5.73333;46.1833
4;TOSSIAT;1422;1406;138;10.17;5.31667;46.1333
5;POUILLAT;1309;88;14;6.23;5.43333;46.3333
6;TORCIEU;1421;698;65;10.72;5.4;45.9167
7;REPLONGES;1320;3500;210;16.6;4.88333;46.3
8;CORCELLES;1119;243;17;14.16;5.58333;46.0333
9;PERON;1288;2143;82;26.01;5.93333;46.2
10;RELEVANT;1319;466;37;12.38;4.95;46.0833
11;CHAVEYRIAT;1096;927;54;16.87;5.06667;46.1833
12;VAUX-EN-BUGEY;1431;1169;142;8.22;5.35;45.9167
13;MAILLAT;1228;668;59;11.31;5.55;46.1333
14;FARAMANS;1156;681;60;11.22;5.11667;45.9
15;BEON;1039;373;36;10.3;5.75;45.8333
16;SAINT-BERNARD;1339;1375;436;3.15;4.73723;45.945
17;ROSSILLON;1329;148;18;8.07;5.6;45.8333
18;PONT-D'AIN;1304;2627;234;11.22;5.33333;46.05
19;NANTUA;1269;3713;290;12.79;5.61667;46.15
20;CHAVANNES-SUR-REYSSOUZE;1094;680;41;16.55;5;46.4333
21;NEUVILLE-LES-DAMES;1272;1504;56;26.59;5;46.1667
22;FLAXIEU;1162;63;22;2.79;5.73333;45.8167
23;HOTONNES;1187;306;10;28.4;5.68333;46
24;SAINT-SORLIN-EN-BUGEY;1386;1061;116;9.07;5.36667;45.8833
25;SONGIEU;1409;130;6;20.58;5.7;45.9667
26;VIRIEU-LE-PETIT;1453;309;18;16.36;5.71667;45.9
27;SAINT-DENIS-EN-BUGEY;1345;2178;834;2.61;5.33333;45.95
28;CHARNOZ-SUR-AIN;1088;911;137;6.62;5.21667;45.8667
29;CHAZEY-SUR-AIN;1099;1464;66;21.95;5.25;45.9
30;MARCHAMP;1233;118;9;13.11;5.55;45.7833
31;CULOZ;1138;2909;150;19.36;5.78333;45.85
32;MANTENAY-MONTLIN;1230;288;26;10.8;5.08333;46.4167
33;MARBOZ;1232;2182;54;40.14;5.25;46.3333
34;FOISSIAT;1163;1912;47;40.36;5.18333;46.3667
35;TREFFORT-CUISIAT;1426;2204;55;39.41;5.36834;46.2714
36;IZIEU;1193;201;26;7.67;5.63333;45.65
37;SAINT-ETIENNE-DU-BOIS;1350;2441;86;28.38;5.28333;46.2833
38;HAUTEVILLE-LOMPNES;1185;4044;80;50.34;5.6;45.9667
39;SAINT-TRIVIER-SUR-MOIGNANS;1389;1877;44;41.99;4.9;46.0667
40;PEYRIAT;1293;171;28;5.96;5.51667;46.15
41;EVOSGES;1155;140;11;12.08;5.5;45.9583
